,skill_info_processed
2442,identifizierung tier überwachen -- überwachung identifizierung tier -- schlachthof eintreffen -- sicherstelle korrekt vorgehensweis rechtlich -- qualitätsbezogen verwaltungsverfahren -- identifizierung rückverfolgbarkeit fertigungsprozess gewährleisten -- 
2443,ausrüstung aquakultur inspizieren -- kontrolle fischerntewerkzeug -maschin -- sicherstellen -- ordnungsgemäß funktionieren -- 
2444,gestaltungsprozess -- ermittlung arbeitsablauf ressourcenanforderunge bestimmt prozess verwendung verschieden instrument -- prozesssimulationssoftwar -- flussdiagramm modell -- 
2445,gepäcktransfer beaufsichtigen -- beaufsichtig gepäcktransfer sicherstelle rechtzeitig sicher ankunft gepäckstück luftfahrtunternehm -- fluggäst gates überwachung gepäckförderanlag gepäckförderbänder -- 
2446,künstlerisch projekt managen -- leitung kunstprojekt -- bestimmung projektbedarf -- schaffung partnerschaft -- verwaltung budget -- zeitplan -- vertraglich vereinbarung bewertung projekt -- 
2447,kosmetisch hautbehandlung -- ästhetische pflege haut -- z. b. gesichtsbehandlung einschließlich exfoliation -- gesichtsmaske -- peeling -- dampf extraktion -- 
2448,"speise wein aufeinander abstimmen -- beratung abstimmung essen wein -- verschieden weinsort -- herstellungsprozess -- charakter wein -- ernte -- art traube zusammenhängend beratung -- 
	 "
2449,"freiwillige schulen -- schulung freiwilligen bezug funktionsweise organisation -- schulung aufgaben- bzw. rollenspezifisch thema -- bereitstellung strategie verfahren ressource -- helfen -- fachwissen optimal nutzen -- 
    "
2450,story zusammenfassen -- kurz zusammenfassen story -- grob vorstellung kreativ konzept vermitteln -- z. b. vertrag sichern -- 
2451,sieb pflanzlich stoff bedienen -- bedienen -- pflanzlich stoff kraut wermut trennen -- 
2452,angebotsabgabe durchführen -- platzieren kostenanfrage organisation -- angebot anfordern -- anschließend ausführen arbeit lieferung gemäß vereinbarung -- rahmen ausschreibung treffen -- 
2453,blech verankern -- sicheres befestigen blechobjekt mithilfe reihe anker -- 
2454,logisch programmierung verwenden -- nutzung speziell ikt-werkzeug erstellung computer-code -- reihe satz logisch form zusammensetzen -- angabe regel fakt bestimmt problembereich -- verwenden programmiersprache -- methode unterstützen -- z. b. prolog -- answer set programming datalog -- 
2455,spielbetrüger ausschließen -- erkennung ausschluss spieler -- vermuten -- betrug begehen -- 
2456,künftig kapazitätsanforderung planen -- entwicklung solide geschäftsplan künftig kapazitätsanforderung -- feststelle -- unternehmen lage -- anspruch produkt dienstleistung erfüllen -- 
2457,landwirtschaftlich maschine warten -- wartung landwirtschaftlich anlage maschine -- sicherstellen -- sauber -- sicher funktionsfähig -- routinemäßige wartung anlage bedarf anpassung reparatur hand elektrowerkzeuge -- ersetzen defekt teil system -- 
2458,bibliotheksvertrag verhandeln -- aushandeln vertrag dienstleistung -- material -- wartung ausstattung bibliothek -- 
2459,dermatologisch eingriff vornehmen -- vornehme dermatologisch eingriff vorbeugung heilung hauterkrankung -- verbesserung zustand haut behandlung wucherung farbveränderung -- behandlung hautschäde aufgrund krankheit alterung -- 
2460,make-up testen -- durchführung routinetest -- feststellen -- make-up-produkt angemessen -- 
2461,hebel bewegen -- bewegen hebel erleichterung zuschneiden fliese rohren anpassung automatisch ölförderer -- 
2462,lesen schreiben sozial praxis unterrichten -- unterweise erwachsen lernend theorie praxis alphabetisierung -- insbesondere lesen schreiben -- ziel -- künftig lernen erleichtern beschäftigungsaussichte optimal integration verbessern -- arbeit erwachsen lernend -- alphabetisierungsbedarf decken -- beschäftigung -- gemeinschaft persönlich ziel bestrebung ergeben -- 
2463,"makroregional strategie -- strategisch rahmen -- einschlägig partner verschieden land region zusammenbringen -- gemeinsam problem abgegrenzt geografisch gebiet angehen -- wodurch verstärkt zusammenarbeit zugutekommen -- verwirklichung wirtschaftlich -- sozial territorial zusammenhalt beitragen -- 
    "
2464,wissenschaftlich forschung observatorium durchführen -- durchführen forschung gebäude -- beobachtung naturereigniss ausrüsten -- insbesondere bezug himmelskörper -- 
2465,in-circuit-test durchführen -- durchführen in-circuit-test -- ict -- -- feststellen -- leiterplatt korrekt herstellen -- in-circuit-test prüfen kurzschluß -- widerstand kapazität -- nagelbett“-tester adapterlos durchführen -- 
2466,möbeltrend -- aktuell trend hersteller möbelindustrie -- 
2467,ermittlung umweltverschmutzung anstellen -- ermittlung ursache verschmutzungsvorfäll art ausmaß risiko test ort verschmutzung labor forschungsarbeit -- 
2468,langzeittherapie dysfunktion drüsensystem erstellen -- entwicklung langzeittherapie patient -- dysfunktion drüsensystem leiden -- regelmäßig bedarfsgerecht überwachung patient -- feststellen -- gewählt behandlungsmethode besserung eintreten -- 
2469,ganzheitlich ansatz pflege anwenden -- nutzung biopsychosozial modell pflege berücksichtigung kulturell existentiell dimension nutzer gesundheitssystem -- wobei ganzheitlich verständnis praktisch maßnahme umwandeln -- 
2470,militärisch logistik -- vorgang bedarf lieferung gut ressource militärstützpunkt militärisch operation gelände -- unterbrechung versorgung feind -- kostenanalyse -- ausrüstungsbedarf militärisch logistikaktivität -- 
2471,fremdsprache übersetzen -- übersetzung wort -- satz begriff fremdsprache muttersprache fremdsprache -- 
2472,entgegen nehmen -- kontrolle dokumentation -- entladen buchung -- empfang verkäufer produktion buchen -- 
2473,gesundheitsstatus fisch überwachen -- überwachung gesundheit fisch basierend fütterung verhalten -- interpretieren umweltparamet analysieren mortalitätsrat -- 
2474,schulung umweltfrag durchführen -- schulung personal sicherstelle -- mitarbeiter verstehen -- gut umweltleistung beitragen -- 
2475,testergebnis medizinisch personal verfügung stellen -- aufzeichnen testergebniss weiterleitung medizinisch personal -- information diagnose behandlung krankheit patient verwenden -- 
2476,arbeitsunfall untersuchen -- beurteilung -- verwaltung meldung berufskrankheit -- erkrankung verletzung feststellung -- einzelfall handeln umfangreicher vorkommen handeln -- 
2477,methode bühnenbildbau festlegen -- entscheiden -- bühnenbild bauen -- dokumentieren schlussfolgerunge -- 
2478,anweisung kleidungsherstellung koordinieren -- koordinieren anweisung kunde herstellung bekleidung -- erfassung anfrage kunde umsetzung spezifikation produktion -- 
2479,soziologisch trend verfolgen -- ermitteln untersuchen soziologisch trend bewegung gesellschaft -- 
2480,technisch hilfsmittel verfügung stellen -- bereitstellung technisch hilfsmittel person -- ermöglichen -- tätigkeit funktionsgerechter gestalten -- 
2481,wetten -- tätigkeit prognostizierung ergebnis setzen geldbeträg ergebnis -- meister wetttätigkeit sport verbinden -- wett art wettkämpf abschließen -- 
2482,klinisch psychologisch diagnostik anbieten -- anbiet klinisch psychologisch diagnostik bezug gesundheit gesundheitsbezogen gesundheitsbedingt verhalten erfahrung klinisch krankheitsbild auswirkung erfahrung verhalten mensch -- 
2483,unternehmen promoen -- ständig versuch -- unternehmen positiv darstellen mehraufwand betreiben -- sicherstellen -- sowohl mitarbeiter kunde club bestmöglich erfahrung sammeln -- erläuter aktiv promot aktivität club kunde -- 
2484,entsorgungsverfahr werksabfäll entwerfen -- beteiligung planung bewirtschaftung schutthalde deponien gemäß geotechnisch -- betrieblich gesetzlich anforderung -- 
2485,castingbudget vorbereiten -- gemeinsam buchhalter produktion vorbereiten budget einstellung schauspieler statist -- 
2486,lieferung ausladen -- entfernen lieferung lastkraftwagen verladen neu lieferung arbeit lagerbereich -- 
2487,gesprochen französisch verstehen -- verstehen gesprochen französisch -- 
2488,veranstalter auswählen -- bewerten auswählen richtig anbieter richtig dienst gemäß spezifisch anforderung kunde -- 
2489,finanzmittel kontrollieren -- überwachung kontrolle budget finanzmittel -- kompetent unternehmensführung sorgen -- 
2490,beton verstärken -- verstärken beton einbringen betonstahl -- 
2491,blutprobe entnehmen -- effizient hygienisch einwandfrei entnehmen blut patient leitlinie technik blutentnahme -- erforderlichenfall sterilisieren ausrüstung -- 
2492,"wasserhabitate managen -- beseitigung künstlich hindernis bewegung wasserorganisme -- unterirdisch wasserleitung dämm -- erhaltung wiederherstellung natürlich vegetation ufer -- minimierung erosion entlang bebaut küste -- verhinderung ausbreitung wasser lebend invasiv art krankheitserregern bekämpfung -- -- 
	 "
2493,boot medizinisch notfalldienst steuern -- fähigkeit -- boot steuern -- medizinisch notfall reagieren medizinisch hilfe bereich leisten -- fahrzeug hubschrauber zugänglich -- 
2494,marketingtechnik bereich textilie -- schaffung -- vermittlung bereitstellung wert kunde textilerzeugniss dienstleistung bereich textilie -- 
2495,projektor einstellen -- fokussieren einstellen projektor -- 
2496,inserter bedienen -- bedienen inserter -- leitung elektronisch bauteil loch leiterplatt einbringen -- 
2497,bild abgestimmt rahmen auswählen -- wählen passend rahmen bild berücksichtigung verschieden aspekt -- stil farbe -- 
2498,zement nachbearbeiten -- nachbearbeiten zement mithilfe vielzahl technik -- polieren säurebehandlung -- 
2499,dramatiker -- dramatikerinn arbeiten -- arbeit autor rahmen workshop drehbuchentwicklungsprojekt -- 
2500,nutzer -- nutzerinn sozial dienst kompetenzmanagement unterstützen -- unterstützung person ermittlung kompetenz -- alltag benötigen -- unterstützung entwicklung kompetenz -- 
2501,workshop planen -- planung workshop-aktivitäte entsprechend produktionsbedarf -- 
2502,kontakt sportorganisator aufnehmen -- verbindung lokal sporträte -- regional ausschuß national leitungsgremie -- 
2503,fertigung metallkonstruktion -- herstellung metallkonstruktion bau -- 
2504,"geschlecht tier bestimmen -- verwenden geschlechtsbestimmend gen geschlechtschromosomen -- geschlecht tier bestimmen -- verwenden unterschiedlich methode art tier -- 
    "
2505,freiwillige einbinden -- einstellung -- motivation leitung freiwilligen organisation abteilung organisation -- pflege beziehung freiwillige freiwillig engagement -- gesamt organisation abschluss offiziell freiwilligentätigkeit hinaus -- 
2506,sicher medizinmanagement -- methode grundsatz handhabung -- lagerung verschreibung medikament ziel -- sicherheit qualität verwendung medikament verbessern -- 
2507,"anforderung visuell gestaltung übertragen -- entwicklung visuell gestaltung bestimmt spezifikation anforderung grundlage analyse umfang zielgruppe -- erstellen visuell darstellung idee -- logos -- webgrafike -- digital spiel layout -- 
	 "
2508,"integriert lebensmittel-energie-system -- integration lebensmittel energieerzeugung landwirtschaft lebensmittelproduktionssystem -- 
	 "
2509,befülle kraftstofftank fahrzeug hilfestellung leisten -- unterstützen kunde tankstelle befülle tank benzin dieselkraftstoff -- bedienen kraftstoffpumpe -- 
2510,technisch anspruchsvoll aufgabe erledigen -- ausführen aufgabe -- besonderer technisch fähigkeit erfordern -- erprobung neu messgerät -- entwicklung programm numerisch gesteuert maschine ausführung schwierig manuell arbeit -- 
2511,wache stehen -- wachestehe beobachtungspost -- ausführen ruderbefehl -- sicherstellen -- jederzeit stabil kurs beibehalten -- 
2512,bergwerksplan aufbewahren -- erstellen aufbewahren oberfläche untergrundplän technisch plan bergbaugebiet -- durchführung erhebung risikobewertung potenziell bergbaustandorte -- 
2513,abbruchtechnik -- verschieden art abbruchanlag -- kontrolliert implosion -- einsatz abrissbirne presslufthammer selektiv abriss -- anwendungsfall methode konstruktion -- verfügbar -- umwelt fachwissen -- 
2514,gefahrenanalyse kritisch kontrollpunkt -- bereich gefahrenanalyse -- maximal sicherheitsbedingung gewährleisten -- 
2515,papier-heftmaschine bedienen -- betätig hefter -- gefalzt flach papierbogen automatisch sammeln -- heften zuzuschneiden -- anschließend papiergebunden buch -- magazin -- prospekt -- katalog broschüre zusammenstellen -- 
2516,eintrittskarte verkaufen -- eintausche ticket geld -- verkaufsvorgang abschluss bringen -- ticket zahlungsnachweis ausstellen -- 
2517,rohrbettung herstellen -- herstellen bettung graben -- rohr stabilisieren -- falls erforderlich -- herstellen bettung unterhalb rohr herum -- umwelteinflüss schützen -- 
2518,redaktionstreffe teilnehmen -- teilnahme redaktionstreffe redakteur journalist erörterung möglich thema verteilung aufgabe arbeitsaufwand -- 
2519,antibakteriell substanz zahn auftragen -- auftragen präventiv prophylaktisch substanz -- versiegelungsmittel fluorid -- zahn entsprechend anweisung zahnarzt aufsicht zahnarzt -- 
2520,alkalinität prüfen -- prüfen alkalinität natronlauge -- gegebenenfalls hinzufügen soda wasser -- 
2521,ohsas 18001 einhalten -- kennen befolgen standard arbeit gesundheitsschutzmanagementsystem -- durchführung maßnahme verringerung unfallrisiko arbeitsplatz -- 
2522,leibesvisitation durchführen -- untersuchen besucher vornehmen leibesvisitation -- waffe illegal substanz entdecken -- 
2523,sportgerät ausgeben -- verleihen verkaufen sportgerät -- -ausrüstung -zubehör -- 
2524,kurzfristig ziel umsetzen -- festlegung priorität sofortmaßnahme nah zukunft -- 
2525,kreidelinie schlagschnur ziehen -- spannen schnur -- fein kreide bedeckt -- punkt -- loslassen gespannt schnur -- sodass oberfläche schlagen linie markieren -- 
2526,veränderung marketing anpassen -- information anpassung entwicklung -- innovation trend bezug marketing -- marketinginstrument marketingtechnologien -- 
2527,datenprozeß etablieren -- verwendung ikt-werkzeug -- mathematisch -- algorithmisch datenmanipulationsprozes anwenden -- information erstellen -- 
2528,schwerpunkt ladunge bestimmen -- festlegen schwerpunkt ladung -- kran maschine ausrüstung bewegen -- optimal sicher bewegung sicherstellen -- 
2529,"erwartung teilnehmer -- teilnehmerin kunstprogrammen umgehen -- umgang erwartung beteiligter -- sobald gemeinschaftlich kunstprogramm planen planen -- möglichst klar kommunikation scoping-phase -- vertrauen -- potenziell gruppe geldgeber aufbauen -- 
    "
2530,"wasseranalyse durchführen -- probennahme analyse oberflächenwasser grundwasser -- 
    "
2531,projektplan beurteilen -- beurteilung vorschlag -- projektplän bewertung frage durchführbarkeit -- 
2532,landschaftsarchitektonisch instrument -- instrument -- werkzeug -- symbol terminologie zeichnung spezifikation landschaftsarchitektur -- gesetz kodize bezug landschaftsarchitektur landschaftsgestaltung -- 
2533,gesetzgebung gesundheitsschutz -- sicherheit hygiene -- bestimmt sektor geltend gesundheitsschutz -- sicherheit hygienenormen -vorschrift -- 
2534,information einrichtung verfügbar dienstleistung übermitteln -- information kunde anlage verfügbar dienst ausrüstung -- preis leitlinie vorschrift -- 
2535,verkaufsanalyse durchführen -- prüfung verkaufsberichten -- feststellen -- dienstleistung verkaufen -- 
2536,dekontaminierungstechniken -- methode technik -- dekontaminierung abfall einsetzen -- schädlich stoff entfernen neutralisieren -- 
2537,ikt-netzwerk-sicherheitsrisiken -- risikofaktor sicherheit hardware- softwarekomponent -- gerät -- schnittstell strategie ikt-netze risikobewertungstechnike -- bewertung schwere folge sicherheitsbedrohung heranziehen -- notfallplan sicherheitsrisikofaktor -- 
2538,spinde zuweisen -- bereitstellen spinden spindschlüssel kunde -- persönlich gegenstand anlage sichern -- überblick verfügbar platz -- 
2539,requisit erwerben -- kaufen erforderlich requisit auftritt -- 
2540,fremdsprache sprechen -- beherrschen fremdsprache -- mehrere fremdsprache kommunizieren -- 
2541,kartografie -- studie interpretation karte dargestellt element -- maß technisch spezifikation -- 
2542,patientendat gesundheitswesen archivieren -- ordnungsgemäß speichern gesundheitsakt nutzer gesundheitssystem -- einschließlich testergebnisse fallvermerk -- bedarf problemlos abgerufen -- 
2543,pressekonferenz organisieren -- organisation interview gruppe journalist -- ankündigung frage bestimmt thema beantworten -- 
2544,feuerrisike feststellen -- bewertung gebäude -- wohnanlage -- öffentlich platz ort erkennung feuerrisik -- 
2545,mauerwerksarbeit prüfen -- prüfen fertig mauerwerksarbeit -- prüfen -- arbeit -- stein ausreichend qualität fuge füllen fertigstellen -- 
2546,klavier spielen -- spiel klavier -- korrepetitor bereich musik -- -- 
2547,glasfaserverstärkt kunststoff wählen -- auswahl matt glasfaserverstärkt kunststoff -- oberfläche schiffsdeck -- schiffskörpern golfwage gemäß technisch plan spezifikation laminieren -- 
2548,digital datei erstellen -- erstellen digital datei computersystem qualitätskontrolle gedruckt eingescannt unterlage hinblick funktionsstörung -- 
2549,offen entwässerungssystem schaffen -- aufbau entwässerungssystemen gemäß technisch spezifikation -- 
2550,unversehrtheit postendungen sicherstellen -- sicherstelle unversehrtheit brief paket -- schaden vermeiden -- sicherstelle -- paket selber zustand kunde liefern -- abholen -- 
2551,geburtshilflich sonografie -- verschieden art sonografie geliefert information anwendung geburtshilfe -- z. b. zeitpunkt fortschritt schwangerschaft visualisierung fötus mutterleib -- 
2552,pyrotechnisch anlage bauen -- bauen anlage -- pyrotechnisch effekt auftritt benötigen -- 
2553,schneidwarenherstellung -- herstellung verschieden schneidware -- z. b. gabel -- löffel -- messer -- rasiermesser scher -- 
2554,diagnose psychisch gesundheitsproblem -- diagnose psychisch gesundheitsproblem psychisch störung erkrankung psychisch faktor erkrankung innerhalb verschieden fragestellung unterschiedlich altersgruppe -- 
2555,nutzpflanze ernten -- mähen -- pflücken schneiden landwirtschaftlich erzeugnis -- manuell mithilfe geeignet werkzeug maschine -- berücksichtigung einschlägig qualitätskriteri produkt hygienevorschrifte nutzung geeignet methode -- 
2556,elektromotor -- motor -- elektrisch energie mechanisch energie umwandeln -- 
2557,optisch komponente testen -- teste optisch system -- produkt komponente geeignet methode optisch testen -- z. b. test axial schräg strahl -- 
2558,"meeresbiologie -- studium lebend meeresorganisme -ökosystem wechselbeziehung wasser -- 
	 "
2559,klinisch chiropraktikkompetenz sport anwenden -- anwendung spezialisiert kenntnis -- fähigkeit kompetenz chiropraktiktechnike -grundsätze -- sportverletzung sicher -- klinisch angemessen äußerst professionell versorgen -- einbringung fähigkeit interaktion -- koordinierung zugehörigkeit team -- gesundheitsversorgung sport zuständig -- 
2560,nutzer -- nutzerinn sozial dienst stärken -- ermögliche -- einzelperson -- familie -- gruppe gemeinschaft mithilfe kontrolle leben umgebung erlangen -- 
2561,managementpriorität rohrleitungsarbeit festlegen -- festlegung priorität durchführung rohrleitungsarbeit -- analyse verschieden aspekt infrastruktur lösung problem -- erheblich betrieb auswirken -- -- möglicherweise kostspielig -- behandeln -- 
2562,forstwirtschaftlich wegenetz warten -- überprüfen forstwirtschaftlich wegenetz -- störung -- z. b. umgefallen baum -- beheben reparaturverfahr organisieren -- 
2563,sicherheitsverfahren entsprechend -- ordnungsgemäß verpackung aufeinander abstimmen -- zuordnung verpackend erforderlich sicherheitsausrüstung -- angemessen sicherheitsverfahren -- 
2564,"jugendinformationsdienste verwalten -- durchführung qualitativ hochwertig recherche information -- jung mensch relevant -- zusammenfassung information erstellung jugendgerecht inhalt -- präzise -- verständlich verschieden gruppe jung mensch zugänglich -- 
    "
2565,wasserqualität setzlingszucht aquakultur aufrechterhalten -- durchflussmessung wasser becken natürlich süßwasservorkommen -- bestimmen parameter wasserqualität -- ph-wert -- temperatur -- sauerstoff -- salzgehalt -- co2 -- n2 -- no2 -- nh4 -- trübung chlorophyll -- 
2566,weinkeller verwalten -- systematisierung weinkeller -- angemessen menge variation wein gewährleisten effizient effektiv bestandsrotation durchführen -- 
2567,pflanze schädlingsbekämpfung schützen -- einsatz technik schutz pflanze gefährlich chemikalie -- schädlingsbekämpfung einsetzen -- 
2568,mensch lesen -- sammeln information mensch genau beobachtung körpersprache -- registrieren stimmlich signal stelle frage -- 
2569,tonmischvorrichtung beschicken -- beschick tonmischvorrichtung angegeben zutat herstellung ziegel fliesenprodukte -- 
2570,batterie transportgerät einbauen -- einbauen batterie transportgerät mithilfe hand elektrowerkzeuge -- sicherstelle -- batterie modell transportgerät entsprechen -- 
2571,holzelement verbinden -- verbinden holzwerkstoffen verschieden technik material -- ermitteln optimal technik verbinden element -- tackern -- nageln -- kleben schraube -- bestimmen richtig arbeitsauftrag vornehme verbindung -- 
2572,anomalio erkennen -- erkennen normalem abnormalem bezug wohlbefinden patient erfahrung anweisung -- meldung anomalio pfleger -- 
2573,nährstoff managen -- sammeln verarbeiten bode pflanzengewebe -- überwachen anwendung kalk düngemittel -- 
2574,krisengebiet arbeiten -- unterstützung mensch fragil konflikt betroffen umgebung -- entwicklungsland -- 
2575,geschrieben malaiisch verstehen -- lesen verstehen schriftlich text malaiisch sprache -- 
2576,waschschleuderautomate bedienen -- vorbereiten ausrüstung sicher beladung entladung kleidungsstück waschschleuderautomat -- auswahl richtig waschprogramm -- erkennen fehler funktionsstörung maschine meldung richtig person -- 
2577,totalisator bedienen -- bedienen totalisator -- manuell mithilfe software autotote -- 
2578,lasermarkierungsverfahren -- verschieden gravurverfahr -- schnitt laser durchführen -- rastergravur -- vektorgravur -- 
2579,"grundsatz jugendarbeit -- zweck grundlegend merkmal jugendarbeit -- jung mensch helfen -- potenzial voll ausschöpfen -- jugendarbeit umfassen breit spektrum aktivität -- -- jung mensch nicht-formales informell lernen durchführen -- 
    "
2580,röntgenbilder analysieren -- analyse röntgenbilder -- ursache beschwerde patient ermitteln -- auswerte ergebnis -- 
2581,teppichboden verlegen -- auslegen teppichboden richtig ort entfernen falte -- abschneiden überstehend teppichboden ecke -- handhabung erleichtern -- 
2582,kraftstoffpreise einklang unternehmensintern verfahren anpassen -- tägliche überwachung erforderlichenfalls anpassung kraftstoffpreise -- sicherstelle einhaltung betrieblich verfahren -- 
2583,strahlenschutzverfahr anwenden -- überprüfen vorschrift bezug ionisierend strahlung sicherstelle -- richtlinie medizinisch strahlenexposition einhalten -- 
2584,polygrafie -- produktionszweig vervielfältigung text bild druck -- 
2585,siebdruckfarbe -- verschieden art siebdruckfarbe lösemittel -- wasser plastisolfarbe uv-härtend siebdruckfarbe -- 
2586,lebensmittelherstellungslabor leiten -- leiten labortätigkeit werk fabrik verwendung datum überwachung qualität hergestellt produkt -- 
2587,steuer berechnen -- berechnung steuer -- einzelperson organisation entrichten staatlich einrichtung zurückzahlen -- gemäß spezifisch rechtsvorschrift -- 
2588,orthopädie -- orthopädie eu-richtlinie 2005 -- 36 -- eg genannt medizinisch fachgebiet -- 
2589,bodenreinigungsgerat bedienen -- aufstellen -- pflege bedienen einscheibenmaschin -- abziehvorrichtung schrubber bodenpflegegeräten -- teppichböde reinigen hart böden schrubben -- 
2590,geschrieben maltesisch verstehen -- lesen verstehen schriftlich text maltesisch sprache -- 
2591,medizinisch instrument sterilisieren -- desinfizieren reinige medizinisch gerät instrument -- operationsräum -- station abteilung krankenhaus klinik stammen -- desinfektion prüfen bakterie mithilfe mikroskop -- 
2592,schweißgerät nutzen -- sicher einsatz schweißgerät -- anwendung schweißtechnik -- stabschweiße fülldrahtschweißen -- 
2593,schiffsmechanik -- boot schiff eingesetzt mechanik -- verständnis technisch aspekt beteiligung gespräch verwandt thema -- problem zusammenhang mechanik lösen -- 
2594,"kakaobohn prüfen -- prüfen kakaobohn -- entsprechend bohne rösten mahle auswählen -- sicherstelle -- ausgewählt bohne qualitätsstandard entsprechen -- reinige kakaobohn geringfügig mängeln -- 
	 "
2595,"luftdichtheit gebäude planen -- berücksichtigung luftdichtheit gebäude energiesparkonzept -- anleite luftdichtheitsplanung -- gewünscht niveau luftdichtheit erreichen -- 
	 "
2596,kampftechnik aufführungspraxis anpassen -- sicherstelle -- aufführung angewandt technik zweck angemessen -- gewährleistung sicherheit künstler publikum -- anpassung kampftechnik kontext künstlerisch vision produktion -- 
2597,computergeschicht -- geschichte computerentwicklung digitalisiert gesellschaft -- 
2598,hopfen anbauen -- hopfenanbau herstellung bier zweck -- 
2599,material testen milchprodukt verwenden -- verwenden geeignet ausrüstung reihe test milchprodukt -- zuverlässig ergebnis erzielen -- 
2600,octopus deploy -- tool octopus deploy handeln softwareprogramm automatisierung bereitstellung asp.net-anwendung lokal server cloud-server -- 
2601,"schwein züchten -- vorbereitung geeignet umgebung schweinezucht -- auswahl vorbereitung geeignet lebensraum bestimmt art schwein -- überwachung wachstum gesundheit schwein sicherstelle korrekt fütterung -- bestimmung zeitpunkt -- schwein verkaufs schlachtreif erreichen zweck zuführen -- 
    "
2602,bewässerungskontrollanlagen instand halten -- wartung programmierung verschieden type bewässerungskontrollanlagen -- einschließlich mechanisch -- solarbatterie -- digital computergesteuert system -- 
2603,kursunterlag zusammenstellen -- erstellung -- auswahl empfehlung lehrplan lernmaterial kursteilnehmer -- 
2604,kunde kundin auswahl delikatess beraten -- information kunde delikatesse feinkost -- information geschäft verfügung stehend auswahl -- hersteller -- herkunft -- verfallsdatum -- zubereitung lagerung -- 
2605,backware besonderer veranstaltung verzieren -- verschönern gebäck besonderer anläss -- hochzeite geburtstag -- 
2606,notwendig entlüftung zerspanen sicherstellen -- anschalten lüftungsanlage -- z. b. vakuumpumpe gebläse -- fertigungsmaschine -- schädlich dämpfe -- rauch staub entfernen schmutz oberfläche werkstück entfernen -- 
2607,trocknungsverfahren tabakblatt -- verfahren -- abzielen -- feuchtigkeit tabakblätter beseitigen wohlgeruch garantieren -- verbrauch vorbereiten -- 
2608,rechtlich argument anhören -- anhören rechtlich argument -- gerichtsverhandlung kontext vorbringen -- rechtssach bearbeiten entscheiden -- weise -- seite gleichermaßen möglichkeit bieten -- argument vorbringen -- treffen entscheidung grundlage argument ehrlich unparteiisch art weise -- 
2609,zahnlos patient -- patientin umgehen -- behandlung patient -- mindestens zahn fehlen -- anbringen fest herausnehmbar prothese implantat -- 
2610,bildgebungsgerät instand halten -- kontrolle bildgebungsgerät qualitätssicherungsverfahren -- meldung funktionsstörung -- 
2611,familienplanung beraten -- beratung bezug einsatz geburtenkontrolle verfügbar verhütungsmethode -- sexualerziehung -- prävention behandlung sexuell übertragbar krankheit -- beratung vorfeld empfängnis fruchtbarkeitsmanagement -- 
2612,parameter wasserqualität bestimmen -- sicherstelle qualität wasser berücksichtigung verschieden element -- z. b. temperatur -- 
2613,sozial unternehmen -- unternehmen -- gewinn nutzen -- sozial maßnahme investieren -- sozial ökologisch auswirkung gesellschaft -- 
2614,entwicklung land beobachten -- beobachten politisch -- wirtschaftlich gesellschaftlich entwicklung zugewiesen land -- sammeln melden relevant information betreffend einrichtung -- 
2615,"sensorisch untersuchung lebensmittel durchführen -- untersuchung qualität bestimmt art lebensmittel getränk anhand aussehen -- geruch -- geschmack -- aroma parameter -- empfehlung möglich verbesserung vergleich produkt -- 
	 "
2616,farbunterschiede registrieren -- erkennen unterschieden farbe -- z. b. farbtön -- 
2617,gerichtsbedienstet unterrichten -- kurz unterrichtung gerichtsbediensteten -- richter -- rechtsanwälte vertreter -- ereignis tag -- einzelheit vorgesehen fall -- anwesenheit angelegenheit -- betreffend gerichtsverfahren erheblich -- 
2618,geschrieben georgisch verstehen -- lesen verstehen schriftlich text georgisch sprache -- 
2619,fotofilm wässern -- sicherstelle -- film gleichmäßig trocknen -- verdünnt lösung nichtionisch netzmittel spülen -- 
2620,verkehrspolitik -- öffentlich verwaltung regulatorisch aspekt verkehr infrastruktursektor anforderung -- notwendig -- politisch maßnahme entwickeln -- 
2621,überzeugend verkaufsargumentation anbringen -- vorbereiten vorbringen verständlich formuliert verkaufsgespräch produkt dienstleistung -- wobei überzeugend argumentation ermitteln verwenden -- 
2622,maschine zerlegen -- zerlegen maschine festgelegt verfahren entsprechend inventar angemessen handhabung teil -- sicherstelle -- maschine zerlegung zusammengebauen -- 
2623,motor schmieren -- aufbringen motoröl motor schmieren verbrennungsmotor -- verschleiß verringern motor reinigen kühlen -- 
2624,fischverarbeitungsanlag vorbereiten -- vorbereiten fischverarbeitungsanlag -- kontaminiert fisch behandlung wirksam isolieren -- kontrolle anwendung behandlung -- kontaminierung übrig bestand -- behälter umwelt vermeiden -- 
2625,hafenkommunikationsanlag bedienen -- bedienen telefon funksystemen komplex kommunikationssystemen -- binnenhäfe koordinierung hafenbetrieb verwenden -- 
2626,"entwicklung gummiwaren verwalten -- definition prozessspezifikation umwandlung material verwertbar gummiprodukt sicherstellung reibungslos prozessablauf -- tätigkeit gehören mischen kautschukpolymer chemikalie -- herstellung zwischenform kautschukmischung herstellung endprodukt -- 
	 "
2627,boden rasenfläche präparieren -- vorbereiten rasenfläche ausbringen oberboden säen rasen verlegen rollrasen -- 
